         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   108/91    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:613(request_host)
        1    0.000    0.000    0.015    0.015 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:370(getpeercert)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
       28    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       30    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:46(__setitem__)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:250(compile)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:51(__getitem__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/requests/adapters.py:255(build_response)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:153(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1078(set_verify)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:562(__new__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/email/parser.py:41(parse)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        2    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:225(http2time)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:380(_decode_authority_information_access)
       17    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:533(_decode_dist_points)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:417(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/__init__.py:51(lookup)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/email/parser.py:59(parsestr)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:986(_find_and_load)
       26    0.000    0.000    0.012    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1767(find_all)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:869(_decompose)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1204(<genexpr>)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:121(put)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:564(get_content_type)
